Date,Close
1-Oct-12,"$12,370.19"
2-Oct-12,"$12,391.23"
3-Oct-12,"$12,359.47"
4-Oct-12,"$12,447.68"
5-Oct-12,"$12,418.99"
9-Oct-12,"$12,273.57"
10-Oct-12,"$12,212.42"
11-Oct-12,"$12,233.95"
12-Oct-12,"$12,202.04"
15-Oct-12,"$12,229.96"
16-Oct-12,"$12,407.70"
17-Oct-12,"$12,461.25"
18-Oct-12,"$12,466.12"
19-Oct-12,"$12,415.98"
22-Oct-12,"$12,403.54"
23-Oct-12,"$12,225.84"
24-Oct-12,"$12,195.02"
25-Oct-12,"$12,300.23"
26-Oct-12,"$12,300.30"
29-Oct-12,"$12,312.75"
30-Oct-12,"$12,377.05"
31-Oct-12,"$12,422.91"
1-Nov-12,"$12,499.76"
2-Nov-12,"$12,380.41"
5-Nov-12,"$12,352.78"
6-Nov-12,"$12,361.20"
7-Nov-12,"$12,230.59"
8-Nov-12,"$12,191.05"
9-Nov-12,"$12,196.80"
12-Nov-12,"$12,191.46"
13-Nov-12,"$12,134.66"
14-Nov-12,"$11,929.79"
15-Nov-12,"$11,811.38"
16-Nov-12,"$11,877.72"
19-Nov-12,"$12,040.40"
20-Nov-12,"$12,046.28"
21-Nov-12,"$12,100.06"
22-Nov-12,"$12,153.10"
23-Nov-12,"$12,213.24"
26-Nov-12,"$12,185.05"
27-Nov-12,"$12,111.63"
28-Nov-12,"$12,140.33"
29-Nov-12,"$12,202.85"
30-Nov-12,"$12,239.36"
3-Dec-12,"$12,169.74"
4-Dec-12,"$12,137.18"
5-Dec-12,"$12,157.29"
6-Dec-12,"$12,151.13"
7-Dec-12,"$12,159.59"
10-Dec-12,"$12,230.47"
11-Dec-12,"$12,282.36"
12-Dec-12,"$12,353.09"
13-Dec-12,"$12,289.17"
14-Dec-12,"$12,296.72"
17-Dec-12,"$12,281.35"
18-Dec-12,"$12,334.34"
19-Dec-12,"$12,403.63"
20-Dec-12,"$12,388.71"
21-Dec-12,"$12,385.70"
24-Dec-12,"$12,370.80"
27-Dec-12,"$12,373.77"
28-Dec-12,"$12,316.12"
31-Dec-12,"$12,433.53"
2-Jan-13,"$12,540.77"
