Symbol,Date,Close
OTEX,1/02/2018,43.58
OTEX,1/03/2018,43.07
OTEX,1/04/2018,42.91
OTEX,1/05/2018,42.57
OTEX,1/08/2018,42.16
OTEX,1/09/2018,42.13
OTEX,1/10/2018,41.99
OTEX,1/11/2018,42.29
OTEX,1/12/2018,42.17
OTEX,1/15/2018,41.79
OTEX,1/16/2018,41.74
OTEX,1/17/2018,41.86
OTEX,1/18/2018,41.85
OTEX,1/19/2018,42.06
OTEX,1/22/2018,42.03
OTEX,1/23/2018,42.31
OTEX,1/24/2018,42.33
OTEX,1/25/2018,41.87
OTEX,1/26/2018,42.13
OTEX,1/29/2018,42.11
OTEX,1/30/2018,42.03
OTEX,1/31/2018,42.12
OTEX,2/01/2018,47.48
OTEX,2/02/2018,45.32
OTEX,2/05/2018,44.98
OTEX,2/06/2018,44.47
OTEX,2/07/2018,44.01
OTEX,2/08/2018,43.31
OTEX,2/09/2018,43.41
OTEX,2/12/2018,43.75
OTEX,2/13/2018,43.72
OTEX,2/14/2018,44.35
OTEX,2/15/2018,44.12
OTEX,2/16/2018,44.08
OTEX,2/20/2018,44.24
OTEX,2/21/2018,44.05
OTEX,2/22/2018,43.9
OTEX,2/23/2018,44.84
OTEX,2/26/2018,45.25
OTEX,2/27/2018,45.33
OTEX,2/28/2018,45.05
OTEX,3/01/2018,44.49
OTEX,3/02/2018,44.92
OTEX,3/05/2018,45.46
OTEX,3/06/2018,45.29
OTEX,3/07/2018,45.76
OTEX,3/08/2018,46.51
OTEX,3/09/2018,46.4
OTEX,3/12/2018,46.71
OTEX,3/13/2018,47.02
OTEX,3/14/2018,47.19
OTEX,3/15/2018,47.29
OTEX,3/16/2018,47.64
OTEX,3/19/2018,46.56
OTEX,3/20/2018,46.35
OTEX,3/21/2018,46.09
OTEX,3/22/2018,44.84
OTEX,3/23/2018,44.1
OTEX,3/26/2018,44.53
OTEX,3/27/2018,43.91
OTEX,3/28/2018,44.02
OTEX,3/29/2018,44.82
OTEX,4/02/2018,43.85
OTEX,4/03/2018,44.03
OTEX,4/04/2018,43.99
OTEX,4/05/2018,43.86
OTEX,4/06/2018,43.63
OTEX,4/09/2018,43.91
OTEX,4/10/2018,43.67
OTEX,4/11/2018,42.94
OTEX,4/12/2018,43.37
OTEX,4/13/2018,43.06
OTEX,4/16/2018,43.47
OTEX,4/17/2018,45
OTEX,4/18/2018,45.19
OTEX,4/19/2018,44.83
OTEX,4/20/2018,45.02
OTEX,4/23/2018,45.21
OTEX,4/24/2018,44.76
OTEX,4/25/2018,45.01
OTEX,4/26/2018,45.76
OTEX,4/27/2018,45.78
OTEX,4/30/2018,45.33
OTEX,5/01/2018,46.03
OTEX,5/02/2018,46.5
OTEX,5/03/2018,46.21
OTEX,5/04/2018,46.53
OTEX,5/07/2018,47.16
OTEX,5/08/2018,47.1
OTEX,5/09/2018,47.26
OTEX,5/10/2018,44.3
OTEX,5/11/2018,44.52
OTEX,5/14/2018,44.35
OTEX,5/15/2018,43.78
OTEX,5/16/2018,43.61
OTEX,5/17/2018,43.46
OTEX,5/18/2018,43.77
OTEX,5/22/2018,43.83
OTEX,5/23/2018,44.15
OTEX,5/24/2018,44.69
OTEX,5/25/2018,45.04
OTEX,5/28/2018,44.69
OTEX,5/29/2018,44.51
OTEX,5/30/2018,44.81
OTEX,5/31/2018,45.23
OTEX,6/01/2018,45.76
OTEX,6/04/2018,45.68
OTEX,6/05/2018,46.1
OTEX,6/06/2018,46.2
OTEX,6/07/2018,45.97
OTEX,6/08/2018,46.16
OTEX,6/11/2018,46.53
OTEX,6/12/2018,47.04
OTEX,6/13/2018,47.19
OTEX,6/14/2018,47.1
OTEX,6/15/2018,47.31
OTEX,6/18/2018,47.03
OTEX,6/19/2018,47.09
OTEX,6/20/2018,47.89
OTEX,6/21/2018,47.52
OTEX,6/22/2018,47.54
OTEX,6/25/2018,46.29
OTEX,6/26/2018,46.48
OTEX,6/27/2018,46.21
OTEX,6/28/2018,46.37
OTEX,6/29/2018,46.27
OTEX,7/03/2018,46.63
OTEX,7/04/2018,46.8
OTEX,7/05/2018,47.35
OTEX,7/06/2018,47.77
OTEX,7/09/2018,48.47
OTEX,7/10/2018,48.77
OTEX,7/11/2018,48.62
OTEX,7/12/2018,49.7
OTEX,7/13/2018,49.9
OTEX,7/16/2018,50.01
OTEX,7/17/2018,49.37
OTEX,7/18/2018,49.68
OTEX,7/19/2018,50
OTEX,7/20/2018,49.73
OTEX,7/23/2018,49.61
OTEX,7/24/2018,49.39
OTEX,7/25/2018,49.48
OTEX,7/26/2018,50.26
OTEX,7/27/2018,49.41
OTEX,7/30/2018,48.15
OTEX,7/31/2018,48.41
OTEX,8/01/2018,48.6
OTEX,8/02/2018,49.18
OTEX,8/03/2018,51.15
OTEX,8/07/2018,50.48
OTEX,8/08/2018,51.16
OTEX,8/09/2018,51.35
OTEX,8/10/2018,51.16
OTEX,8/13/2018,51.25
OTEX,8/14/2018,51.44
OTEX,8/15/2018,50.77
OTEX,8/16/2018,51
OTEX,8/17/2018,50.69
OTEX,8/20/2018,50.48
OTEX,8/21/2018,50.22
OTEX,8/22/2018,49.93
OTEX,8/23/2018,50.82
OTEX,8/24/2018,50.72
OTEX,8/27/2018,50.46
OTEX,8/28/2018,50.39
OTEX,8/29/2018,50.81
OTEX,8/30/2018,51.57
OTEX,8/31/2018,51.18
OTEX,9/04/2018,51.86
OTEX,9/05/2018,51.26
OTEX,9/06/2018,50.55
OTEX,9/07/2018,50.55
OTEX,9/10/2018,50.58
OTEX,9/11/2018,50.39
OTEX,9/12/2018,49.81
OTEX,9/13/2018,49.81
OTEX,9/14/2018,50.41
OTEX,9/17/2018,49.71
OTEX,9/18/2018,49.6
OTEX,9/19/2018,49.41
OTEX,9/20/2018,49.67
OTEX,9/21/2018,49.42
OTEX,9/24/2018,49.17
OTEX,9/25/2018,49.19
OTEX,9/26/2018,49.34
OTEX,9/27/2018,50.19
OTEX,9/28/2018,49.15
OTEX,10/01/2018,48.38
OTEX,10/02/2018,47.72
OTEX,10/03/2018,47.71
OTEX,10/04/2018,47.27
OTEX,10/05/2018,46.86
OTEX,10/09/2018,46.05
OTEX,10/10/2018,44.6
OTEX,10/11/2018,44.27
OTEX,10/12/2018,45.33
OTEX,10/15/2018,44.31
OTEX,10/16/2018,45.38
OTEX,10/17/2018,45.36
OTEX,10/18/2018,44.93
OTEX,10/19/2018,44.59
OTEX,10/22/2018,44.98
OTEX,10/23/2018,45.04
OTEX,10/24/2018,43.81
OTEX,10/25/2018,44.05
OTEX,10/26/2018,43.32
OTEX,10/29/2018,42.96
OTEX,10/30/2018,43.64
OTEX,10/31/2018,44.44
OTEX,11/01/2018,44.53
OTEX,11/02/2018,43.51
OTEX,11/05/2018,43.22
OTEX,11/06/2018,43.46
OTEX,11/07/2018,44.2
OTEX,11/08/2018,43.85
OTEX,11/09/2018,43.58
OTEX,11/12/2018,42.97
OTEX,11/13/2018,43.68
OTEX,11/14/2018,43.33
OTEX,11/15/2018,43.34
OTEX,11/16/2018,43.67
OTEX,11/19/2018,42.88
OTEX,11/20/2018,43.35
OTEX,11/21/2018,44.29
OTEX,11/22/2018,44.09
OTEX,11/23/2018,44.6
OTEX,11/26/2018,45.25
OTEX,11/27/2018,45.32
OTEX,11/28/2018,45.9
OTEX,11/29/2018,45.15
OTEX,11/30/2018,45.53
OTEX,12/03/2018,45.73
